Grapheme	IPA	Frequence	Codepoints
a	a		
b	p		
c	kʰ		
k	kʰ		
ch	tʃʰ		
d	t		
ds	ts		
e	ɛ		
g	k		
h	ʔ		
i	i		
ɨ	ɨ		
j	h		
ll	tʃ		
m	m		
n	n		
ñ	ɲ		
o	o		
p	pʰ		
r	ɾ		
t	tʰ		
ts	tsʰ		
u	ɯ		
v	β		
w	kp		
y	j		
ky	kʲʰ		
kʰ	kʰ		
á	á		
é	ɛ́		
í	í		
ó	ó		
ú	ɯ́		
ɨ́	ɨ́		
à	à		
è	ɛ̀		
ì	ì		
ò	ò		
ù	ɯ̀		
ɨ̀	ɨ̀		
ʔ	ʔ		
-	+		
