Grapheme	IPA	Frequence	Codepoints
a	a		
e	e		
i	i		
u	u		
b	b		
k	k		
ch	tʃ		
d	d		
dy	dʲ		
g	g		
j	χ		
l	l		
ll	ʎ		
m	m		
n	n		
ñ	ɲ		
p	p		
r	ɾ		
s	s		
sh	ʃ		
t	t		
ts	ts		
ty	tʲ		
v	β		
y	j		
'	ʔ		
