Grapheme	IPA	Frequence	Codepoints
p	p		
t	t		
c	c		
k	k		
ʔ	ʔ		
b	b		
r	ɾ		
g	g		
m	m		
n	n		
ŋ	ŋ		
w	w		
y	j		
i	i		
e	e		
ɨ	ɨ		
ə	ə		
u	u		
o	o		
a	a		
í	í		
é	é		
ɨ́	ɨ́		
ə́	ə́		
ú	ú		
ó	ó		
á	á		
ĩ	ĩ		
ẽ	ẽ		
õ	õ		
ã	ã		
ĩ́	ĩ́		
ẽ́	ẽ́		
ṍ	ṍ		
ã́	ã́		
t͜p̃	tʙ̥		
