Grapheme	IPA	Frequence	Codepoints
p	p		
t	t		
tj	tʃ		
k	k		
kp	kp		
b	b		
d	d		
dj	dʒ		
g	g		
gb	gb		
mb	mᵇ		
nd	nᵈ		
ndj	nᶡ		
ng	ŋᵍ		
m	m		
n	n		
nj	ɲ		
f	f		
s	s		
h	h		
v	v		
z	z		
l	l		
j	j		
w	w		
i	i		
u	u		
e	e		
o	o		
ë	ɛ		
ö	ɔ		
a	a		
ii	iː		
uu	uː		
ee	eː		
oo	oː		
ëë	ɛː		
öö	ɔː		
aa	aː		
í	í		
ú	ú		
é	é		
ó	ó		
ë́	ɛ́		
ö́	ɔ́		
á	á		
íí	íː		
úú	úː		
éé	éː		
óó	óː		
ë́ë́	ɛ́ː		
ö́ö́	ɔ́ː		
áá	áː		
úúú	úːː		
ééé	éːː		
ííí	íːː		
ööö	ɔːː		
uuu	uːː		
óóó	óːː		
ë́ë́ë́	ɛ́ːː		
ëëë	ɛːː		
mm	mː		
