Grapheme	IPA	Frequence	Codepoints
x	tʃ		
p	p		
t	t		
k	k		
b	b		
d	d		
g	g		
j	h		
r	ɾ		
m	m		
n	n		
w	w		
y	j		
i	i		
e	e		
a	a		
o	o		
u	u		
ɨ	ɯ		
ë	ɤ		
ʔ	ʔ		
ɨɨɨɨɨɨɨɨɨ	ɯː		
