Grapheme	IPA	Frequence	Codepoints
a	a	1342	U+0061
i	i	966	U+0069
t	t	954	U+0074
k	k	814	U+006b
u	ɨi	764	U+0075
o	o	764	U+006f
r	ɾ	741	U+0072
e	e	658	U+0065
n	n	592	U+006e
p	p	538	U+0070
m	m	284	U+006d
s	s	273	U+0073
j	h	269	U+006a
y	j	262	U+0079
ts	ts	245	U+0074 U+0073
á	a	204	U+00e1
é	e		
í	i		
ó	o		
ú	ɨi		
g	g	195	U+0067
ch	tʃ	183	U+0063 U+0068
sh	ʃ	171	U+0073 U+0068
ky	kʲ		
ñ	ɲ		
ty	tʲ		
v	β		
aa	aː		
ee	eː		
ii	iː		
oo	oː		
uu	uː		
áa	aː		
ée	eː		
íi	iː		
óo	oː		
úu	uː		
