Grapheme	IPA	Frequence	Codepoints
a	a		
e	e		
i	i		
o	o		
u	ɨ		
p	p		
t	t		
k	k		
m	m		
n	n		
s	s		
x	ʃ		
h	h		
r	ɾ		
w	ɰ		
y	j		
aa	aː		
ee	eː		
ii	iː		
oo	oː		
uu	ɨː		
