ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	GLOTTOCODE	PAGE	REDUPLICATION	REDUPLICATIONNOTES	SPANISH	PORTUGUESE	SIMPLIFIED	SEMANTICFIELD	SENSORYCATEGORY	CONCEPTICON_GLOSS	CONCEPTICON_ID	SOURCE
2268	PastazaQuechua	A path of movement or manner of movement made by hands	makin	makin	m a k i n		nort2973	LINK					hands moving	The body, Motion	VISUAL			Nuckolls2025
2394	PastazaQuechua	A pattern of shadowy, indistinct movement.	walyan	walyan	w a ʎ a n		nort2973	LINK					shadowy movement	Motion	VISUAL			Nuckolls2025
2315	PastazaQuechua	A pattern of striped lines	shalin	shalin	ɕ a ɫ i n		nort2973	LINK					striped	Sense perception	VISUAL			Nuckolls2025
2253	PastazaQuechua	A pattern of zig zag lines, or of a movement that zig zags across a surface	kingu	kingu	k i ŋ u	Se puede repetir: kiŋgu kiŋgu, kiŋgu-ŋ kiŋgu-ŋ kiŋgu-ŋ	nort2973	LINK	y				zig zag	Spatial relations	VISUAL			Nuckolls2025
2251	PastazaQuechua	A pattern whereby a surface is divided into sections defined by lines, as for example the body of a larva	kilis	kilis	k i ɫ i s		nort2973	LINK					surface divided into sections	Animals	VISUAL			Nuckolls2025
2302	PastazaQuechua	A plucking action, usually involving taking a part of a plant away from its main stem or trunk.	pus	pus	p u s		nort2973	LINK					plucking	Agriculture and vegetation	AUDITORY			Nuckolls2025
2311	PastazaQuechua	A purplish or violet color	sani	sani	s a n i		nort2973	LINK					purplish	Sense perception	VISUAL			Nuckolls2025
2349	PastazaQuechua	A resonant, reverberative sound, such as a heavy door closing, or a heavy body hitting the ground	tolon	tolon	t̪ o ɫ o n		nort2973	LINK					resonant sound	Sense perception	AUDITORY			Nuckolls2025
2357	PastazaQuechua	A shadowy movement, or a shaking movement, especially of foliage	tsan	tsan	ts a n		nort2973	LINK	y				shaking movement	Motion	VISUAL			Nuckolls2025
2344	PastazaQuechua	A shaking or trembling movement	ti	ti	t̪ i		nort2973	LINK	y				shaking	Motion	VISUAL			Nuckolls2025
2370	PastazaQuechua	A sliding movement, or a movement that seems to slide, as when the sun 'slides' into the horizon at sunset	tsyun	tsyun	tsʲ u n		nort2973	LINK					sliding	Motion	VISUAL			Nuckolls2025
2360	PastazaQuechua	A sliding or slithering movement along a surface. May describe the way a knife slides along its case as it is removed from it. May also describe the slithering of a snake moving along the ground.	tsi	tsi	ts i	Intonationally lengthened: tsiiii	nort2973	LINK					slithering	Motion	VISUAL			Nuckolls2025
2263	PastazaQuechua	A slight splashing movement made while swimming	lipo	lipo	ɫ i p o	Se puede repetir: lipo lipo lipo lipo.	nort2973	LINK	y				splashing movement	Motion	AUDITORY			Nuckolls2025
2244	PastazaQuechua	A slit-like opening, as when someone smiles	ing	ing	i ŋ		nort2973	LINK					smile, slit-like opening	Emotion and values	VISUAL			Nuckolls2025
2325	PastazaQuechua	A smooth gliding, uninterrupted movement, especially across water	shyu	shyu	ɕ j u	intonationally foregrounded by lengthening	nort2973	LINK					gliding movement	Motion	VISUAL			Nuckolls2025
2326	PastazaQuechua	A sniffing sound, typically made while softly crying, but also used to indicate a tender emotional state	suk	suk	s u k		nort2973	LINK	y				sniff	Emotion and values	AUDITORY			Nuckolls2025
2364	PastazaQuechua	A sound heard near a tree believed to be inhabited by forest spirits	tsun	tsun	ts u n		nort2973	LINK					sound of tree with spirits	Religion and belief	AUDITORY			Nuckolls2025
2377	PastazaQuechua	A sound heard when thunder is said to be angry.	tulun	tulun	t̪ u ɫ u n		nort2973	LINK					thunder	The physical world	AUDITORY			Nuckolls2025
2218	PastazaQuechua	A sound made by cicadas which a tree is said to control into making, when its flowers are ready for birds to drink nectar from. The sound, then, is said to be a signal from the tree to the birds, inviting them to drink from its flowers	dzhin	dzhin	dʑ i n	Se puede repetir: dzhin dzhin	nort2973	LINK	y				cicada	Animals	AUDITORY			Nuckolls2025
2226	PastazaQuechua	A sound of laughter	ha	ha	h a	Se repite: ha ha ha, ha ha ha ha ha...	nort2973	LINK	y				laugh	Emotion and values	AUDITORY			Nuckolls2025
2195	PastazaQuechua	A sound of the squirrel cuckoo known as the chikwang bird. This sound is validational because it is said to be uttered by the chikwan bird when it hears a person telling the truth, or sees that a person's actions are congenial with their goals	chik	chik	tɕ i k	Se repite: chik chik chik chik...	nort2973	LINK	y				bird species	Animals	AUDITORY			Nuckolls2025
2196	PastazaQuechua	A sound of the squirrel cuckoo known as the chikwang bird. This sound is validational because it is said to be uttered by the chikwan bird when it hears a person telling the truth, or sees that a person's actions are congenial with their goals	chik	chik	tɕ i k	Se puede repetir: chik chik	nort2973	LINK	y				bird species	Animals	AUDITORY			Nuckolls2025
2269	PastazaQuechua	A splat resulting from a liquid substance falling and spreading out on a surface	malyan	malyan	m a ʎ a n		nort2973	LINK					liquid falling and spread	Motion	AUDITORY			Nuckolls2025
2314	PastazaQuechua	A splitting or tearing sound or motion. Also describes the visual division of space by linear markings on a surface or by painting or scoring a surface or by painting or scoring a surface	shaka	shaka	ɕ a k a		nort2973	LINK					to split, to tear	Basic actions and technology	AUDITORY, VISUAL			Nuckolls2025
2206	PastazaQuechua	A sudden, complete absence of sound	chun	chun	tɕ u n		nort2973	LINK					quietness	Sense perception	AUDITORY			Nuckolls2025
2336	PastazaQuechua	A tapping or drumming sound	tan	tan	t̪ a n		nort2973	LINK	y				tapping sound	Basic actions and technology	AUDITORY			Nuckolls2025
2372	PastazaQuechua	A touching movement that also slides across a surface.	tsyuw	tsyuw	tsʲ u w		nort2973	LINK					touch and slide across a surface	Motion	VISUAL, TACTILE			Nuckolls2025
2390	PastazaQuechua	A very fast movement toward something nearby	ush	ush	u ɕ		nort2973	LINK					fast movement	Motion	VISUAL			Nuckolls2025
2236	PastazaQuechua	A whistling sound made by a forest spirit, or by the spirit of a deceased person, as a warning to others	huhi	huhi	h u h i	Se puede repetir: huhi huhi huhi huhi...	nort2973	LINK	y				forest spirit whistling	Religion and belief	AUDITORY			Nuckolls2025
2321	PastazaQuechua	Action and sound of sniffing/snorting (of deer)	shon	shon	ɕ o n		nort2973	LINK					deer sniffing	Animals	AUDITORY			Nuckolls2025
2192	PastazaQuechua	An action or event that takes place in a mid region of a physical or conceptual space	chawpi	chawpi	tɕ a w p i		nort2973	LINK					in the middle	Spatial relations	VISUAL			Nuckolls2025
2184	PastazaQuechua	An energetic bursting out of water by a freshwater dolphin	bhux	bhux	bʰ u x		nort2973	LINK					dolphin's burst of water	Animals	AUDITORY			Nuckolls2025
2351	PastazaQuechua	An explosive sound, as of rifles firing, or the sound of thunder; a hitting sound, as when metal hits wood	ton	ton	t̪ o n		nort2973	LINK	y				explosive sound	Sense perception	AUDITORY			Nuckolls2025
2307	PastazaQuechua	An extremely white color	ruyag	ruyag	ɾ u j a g		nort2973	LINK					very white	Sense perception	VISUAL			Nuckolls2025
2298	PastazaQuechua	An image of a branch or tree trunk cut from its base	pullu	pullu	p u ʎ u		nort2973	LINK					tree trunk cut from base	Agriculture and vegetation	VISUAL			Nuckolls2025
2306	PastazaQuechua	An intense warmth or burning feeling	rupax	rupax	ɾ u p a x		nort2973	LINK					intense warmth	Sense perception	TACTILE			Nuckolls2025
2320	PastazaQuechua	An intensely shiny black color, 'pitch black' This color is often achieved by using a vegetable dye called wituk, which has a clear juice that can be rubbed on faces and teeth for beautification. Wituk is also said to have beneficial medicinal qualities.	shinki	shinki	ɕ i n k i		nort2973	LINK					pitch black	Sense perception	VISUAL			Nuckolls2025
2402	PastazaQuechua	Anything or any group or collection of entities, or expanse of entities, considered as a whole. Any action done completely	win	win	w i n		nort2973	LINK					group of entities	Quantity	VISUAL			Nuckolls2025
2295	PastazaQuechua	Depicts a movement of something reddish (including pinks ranging into brownish or yellowish hues), such as an animal, or, the spatial expanse of something red, which stands out from its environment.	pukang	pukang	p u k a ŋ		nort2973	LINK					reddish	Sense perception	VISUAL			Nuckolls2025
2279	PastazaQuechua	Depicts a small, quick movement which results in contact with a surface that is yielding, such as water, mud or clay. Somewhat comparable to English 'smack' or 'tap'. Such contact often results in disfigurement of surfaces. Pak also depicts a resultant configuration of something relatively soft that has fallen, such as a ripe fruit, and in this sense is comparable to English 'splat'.	pak	pak	p a k	Se puede repetir: pak pak pak	nort2973	LINK	y				hitting a yielding surface	Motion	VISUAL			Nuckolls2025
2330	PastazaQuechua	Depicts an uncontrollable shaking of a body, from an illness such as a fever	ta	ta	t̪ a		nort2973	LINK	y				body shaking	The body	VISUAL			Nuckolls2025
2178	PastazaQuechua	Depicts movement of rubbing a substance across a surface.	awi	awi	a w i	Se puede repetir: awi awi awi	nort2973	LINK	y				rubbing substance	Basic actions and technology	VISUAL, AUDITORY			Nuckolls2025
2266	PastazaQuechua	Describes a curved or bending movement. May describe the meandering of a river or path as seen from an airplane.	lyuw	lyuw	ʎ u w		nort2973	LINK					curved trajectory	Motion	VISUAL			Nuckolls2025
2280	PastazaQuechua	Describes a movement away from someone that is done secretly or without properly observing leave-taking conventions . Describes the way something may fall in pieces or small quantities, such as rain from the sky, tree bark from a tree. Describes random or chaotic movements of multiple entities	palay	palay	p a ɫ a j	Se puede repetir: palay palay palay palay	nort2973	LINK	y				moving away, multiple entities moving	Quantity, Motion	VISUAL			Nuckolls2025
2284	PastazaQuechua	Describes a sound resulting from something, typically a weighty entity, that falls and makes impact that is resonant.	patan	patan	p a t̪ a n		nort2973	LINK					heavy object falling	Motion	AUDITORY			Nuckolls2025
2293	PastazaQuechua	Describes a sound resulting from something, typically a weighty entity, that falls and makes impact that is resonant.	poton	poton	p o t̪ o n		nort2973	LINK					heavy object falling	Motion	AUDITORY			Nuckolls2025
2247	PastazaQuechua	Describes a split or fissure	kalya	kalya	k a ʎ a	Se puede repetir: kaʎa kaʎa, kaʎa kaʎa kaʎa kaʎa	nort2973	LINK	y				split	Basic actions and technology	VISUAL			Nuckolls2025
2200	PastazaQuechua	Describes the arched shape created by a rainbow	chimba	chimba	tɕ i m b a	Se puede repetir: chimba chimba chimba chimba chimba...	nort2973	LINK	y				arched shape	The physical world	VISUAL			Nuckolls2025
2327	PastazaQuechua	Empasizing length	suni	suni	s u n i		nort2973	LINK					length	Spatial relations	VISUAL			Nuckolls2025
2308	PastazaQuechua	Expansive movement outward from a center which may be depicted as symmetrically patterned or random.	sa	sa	s a		nort2973	LINK					outward movement	Motion	VISUAL			Nuckolls2025
2350	PastazaQuechua	Filled or covered to a complete extent.	ton	ton	t̪ o n	Pronounced with a lengthened, drawn out intonation	nort2973	LINK					completely filled or covered	OTHER	VISUAL			Nuckolls2025
2176	PastazaQuechua	Movement along a trajectory	atyun	atyun	a tʲ u n		nort2973	LINK					movement along trajectory	Motion	VISUAL			Nuckolls2025
2387	PastazaQuechua	Moving toward something and sticking to it	tyapi	tyapi	tʲ a p i		nort2973	LINK	y				sticking to something	Basic actions and technology	VISUAL			Nuckolls2025
559	CocamaCocamilla	None	chiu	chiu	tʃ i u		coca1259	51	y		sonido de pollito		chick	Animals	AUDITORY			Vallejos2015
560	CocamaCocamilla	None	puita	puita	p u i t a		coca1259	164			hacer burbujear, sonar al burbujear en el agua		bubbling	The physical world	AUDITORY			Vallejos2015
561	CocamaCocamilla	None	pururirin	pururirin	p u ɾ u ɾ i ɾ i n		coca1259	166			sonido de hundimiento en el agua, de burbujeo		sinking in water	The physical world	AUDITORY			Vallejos2015
562	CocamaCocamilla	None	taka	taka	t a k a		coca1259	177			sonido al caminar		walking	Motion	AUDITORY, VISUAL			Vallejos2015
563	CocamaCocamilla	None	tiaj	tiaj	t i a x		coca1259	188			sonido del corte que se asienta		cut	Basic actions and technology	AUDITORY			Vallejos2015
564	CocamaCocamilla	None	tiau	tiau	t i a u		coca1259	188			sonido de corte		cut	Basic actions and technology	AUDITORY			Vallejos2015
565	CocamaCocamilla	None	tiki	tiki	t i k i		coca1259	188			trac, trac, sonido que se produce al cortar		cut	Basic actions and technology	AUDITORY			Vallejos2015
566	CocamaCocamilla	None	tin	tin	t i n		coca1259	189			sonido "pon" al caer		falling	Motion	AUDITORY, VISUAL			Vallejos2015
567	CocamaCocamilla	None	tun	tun	t u n		coca1259	196			sonido de patada		kick	Basic actions and technology	AUDITORY			Vallejos2015
568	CocamaCocamilla	None	tupun	tupun	t u p u n		coca1259	197			sonido al arrojar algo		throw	Motion	AUDITORY, VISUAL			Vallejos2015
569	CocamaCocamilla	None	turu	turu	t u ɾ u		coca1259	197	y		ruido motor		engine	Basic actions and technology	AUDITORY			Vallejos2015
570	CocamaCocamilla	None	toj	toj	t o x		coca1259	199			sonido de un golpe, por ejemplo al cortar palos de leña		strike or blow	Basic actions and technology	AUDITORY			Vallejos2015
571	CocamaCocamilla	None	tsaaj	tsaaj	ts a x		coca1259	199			shaaa, sonido al derramar cualquier cosa seca como harinas o varios granos en un envase, movimiento de las ramas		pouring dry substance into a container	Motion	AUDITORY, VISUAL			Vallejos2015
572	CocamaCocamilla	None	tsiriri	tsiriri	ts i ɾ i ɾ i		coca1259	215			sonido al escurrir la flema		phlegm	The body	AUDITORY			Vallejos2015
573	CocamaCocamilla	None	tsɨrɨj	tsɨrɨj	ts ɨ ɾ ɨ x		coca1259	216			sonido de jalar fibras, resbalar algo		pulling fibers	Motion	VISUAL, AUDITORY			Vallejos2015
574	CocamaCocamilla	None	tsupu	tsupu	ts u p u		coca1259	220			sonido que se produce cuando una persona cae al agua		fall into water	Motion	AUDITORY, VISUAL			Vallejos2015
575	CocamaCocamilla	None	tsuu	tsuu	ts u		coca1259	222			sonido de la corriente de agua y del viento		water current, wind	The physical world	AUDITORY			Vallejos2015
576	CocamaCocamilla	None	tsuupu	tsuupu	ts u p u	Transcripción: [tsoopo]	coca1259	222			sonido de nadar/bañarse		swimming	Motion	AUDITORY			Vallejos2015
781	Karitiana	None	ajog	ajog	a j o ŋ		kari1312	6			empujar leña	empurrar lenha	push firewood	Basic actions and technology	VISUAL			Landin2005
782	Karitiana	None	ajyk	ajyk	a j ɨ k		kari1312	6			relaciones sexuales	intercurso sexual	 sexual intercourse	The body	VISUAL			Landin2005
783	Karitiana	None	aoo	aoo	a oː		kari1312	7			sonido de llegada de avión	som de chegada de avião	airplane arriving	Basic actions and technology	AUDITORY			Landin2005
784	Karitiana	None	apĩmĩmĩ	apĩmĩmĩ	a p ĩ m ĩ m ĩ		kari1312	7			sonido de pájaro	som de pássaro	bird song	Animals	AUDITORY			Landin2005
785	Karitiana	None	atop	atop	a t o p		kari1312	7			salir del lugar	sair do lugar	to leave	Motion	VISUAL			Landin2005
786	Karitiana	None	eee	eee	eː		kari1312	7			sonido de personas hablando	som de pessoas falando	people talking	Speech and language	AUDITORY			Landin2005
787	Karitiana	None	goj	goj	ŋ o j		kari1312	9			comer sopa	comer sopa	eat soup	Food and drink	VISUAL, AUDITORY			Landin2005
788	Karitiana	None	goj	goj	ŋ o j		kari1312	9	y		caer/entrar/meterse al agua	bater n'água	enter the water	Motion	VISUAL, AUDITORY			Landin2005
789	Karitiana	None	gyn	gyn	ŋ ɨ n		kari1312	10			beber	bebendo	drink	Food and drink	AUDITORY			Landin2005
790	Karitiana	None	gyri	gyri	ŋ ɨ ɾ i		kari1312	10			raspar		scrape	Basic actions and technology	AUDITORY			Landin2005
791	Karitiana	None	ha	ha	h a		kari1312	10			sonido de respiración	som de respiração	breathing	The body	AUDITORY			Landin2005
792	Karitiana	None	ha	ha	h a		kari1312	10	y		reír		laugh	Emotion and values	AUDITORY			Landin2005
793	Karitiana	None	hã	hã	h ã		kari1312	10	y		esperar	esperar	to wait	OTHER	?			Landin2005
794	Karitiana	None	hara	hara	h a ɾ a		kari1312	10	y		reír		laugh	Emotion and values	AUDITORY			Landin2005
795	Karitiana	None	hara	hara	h a ɾ a		kari1312	10	y		sonido de fuego	som de fogo	fire	The physical world	AUDITORY			Landin2005
796	Karitiana	None	hathat	hathat	h a t h a t		kari1312	11			sonido de mono capuchino	som do macaco-prego	capuchin monkey	Animals	AUDITORY			Landin2005
797	Karitiana	None	hẽn	hẽn	h ẽ n		kari1312	11			sonido para llamar a inambú (especie de ave)	som para chamar inambu	tinamou	Animals	AUDITORY			Landin2005
798	Karitiana	None	herere	herere	h e ɾ e ɾ e		kari1312	11			sonido de un pájaro cantando, correr	som de um pássaro cantando, correndo	bird song	Animals	AUDITORY			Landin2005
799	Karitiana	None	hery	hery	h e ɾ ɨ		kari1312	11			salir, dejar	sair, deixar	leave, let go	Motion	VISUAL			Landin2005
800	Karitiana	None	hit	hit	h i t		kari1312	11	y		sonido de trompetero (tipo de ave)	som do pássaro jacamim	bird species	Animals	AUDITORY			Landin2005
801	Karitiana	None	ho	ho	h o		kari1312	11	y		viajar, correr	viajar, correr	run	Motion	VISUAL			Landin2005
802	Karitiana	None	hõ	hõ	h õ		kari1312	11	y		gritar	gritando	shout	Speech and language	AUDITORY			Landin2005
803	Karitiana	None	hororo	hororo	h o ɾ o ɾ o		kari1312	11			gritar	gritando	shout	Speech and language	AUDITORY			Landin2005
804	Karitiana	None	hỹ	hỹ	h ɨ̃		kari1312	11			sonido de pájaro "kyhỹn"	som do pássaro kyhỹn	bird species	Animals	AUDITORY			Landin2005
805	Karitiana	None	hyryg	hyryg	h ɨ ɾ ɨ ŋ		kari1312	11			rugido de jaguar	grito de onça	jaguar roaring	Animals	AUDITORY			Landin2005
806	Karitiana	None	ĩno	ĩno	ĩ n o		kari1312	12			flecha volando	flecha voando	arrow flying	Warfare and hunting	VISUAL			Landin2005
807	Karitiana	None	joj	joj	j o j		kari1312	13			raspar		scrape	Basic actions and technology	AUDITORY			Landin2005
808	Karitiana	None	kaatyy	kaatyy	k aː t ɨː		kari1312	13			pisotear	conculcar	trample	Basic actions and technology	VISUAL, AUDITORY			Landin2005
809	Karitiana	None	kej	kej	k e j		kari1312	13			recoger con la mano	pegar com a mão	pick up	Basic actions and technology	VISUAL			Landin2005
810	Karitiana	None	ke'it	ke'it	k e ʔ i t		kari1312	13			caminar en zigzag	andar ziguezagueando	walk in a zigzag pattern	Motion	VISUAL			Landin2005
811	Karitiana	None	keret	keret	k e ɾ e t		kari1312	13			sonido de trompetero (tipo de ave)	som do pássaro jacamim	bird species	Animals	AUDITORY			Landin2005
812	Karitiana	None	kerit	kerit	k e ɾ i t		kari1312	13			raspar		scrape	Basic actions and technology	AUDITORY			Landin2005
813	Karitiana	None	kijõ	kijõ	k i j õ		kari1312	14			sonido de mono llorando/chillando	som de macaco chorando	monkey sound	Animals	AUDITORY			Landin2005
814	Karitiana	None	kip	kip	k i p		kari1312	14			cortar un poco	cortar um pouco	small cut	Basic actions and technology	VISUAL, AUDITORY			Landin2005
815	Karitiana	None	kom	kom	k o m		kari1312	14			sonido de sumergirse/zambullirse	som de mergulhar	diving into water	Motion	AUDITORY			Landin2005
816	Karitiana	None	korot	korot	k o ɾ o t		kari1312	14			abrir caña seca (sacar tiras para tejer)	abrir palha	split into strips	Agriculture and vegetation	VISUAL, AUDITORY			Landin2005
817	Karitiana	None	kotoj	kotoj	k o t o j		kari1312	14			eyaculación sexual	ejaculação sexual	ejaculation	The body	VISUAL			Landin2005
818	Karitiana	None	kyj	kyj	k ɨ j		kari1312	14			¿enviar/arremeter?, rascar	remeter, coçar	scratch	Basic actions and technology	VISUAL, AUDITORY			Landin2005
819	Karitiana	None	kỹkỹn	kỹkỹn	k ɨ̃ k ɨ̃ n		kari1312	15			deslizarse		to slide	Motion	VISUAL			Landin2005
820	Karitiana	None	kypyjarawa	kypyjarawa	k ɨ p ɨ j a ɾ a w a		kari1312	15			silencioso	silencioso	silent	Sense perception	AUDITORY			Landin2005
821	Karitiana	None	kỹrỹm	kỹrỹm	k ɨ̃ ɾ ɨ̃ m		kari1312	15			subir, entrar en vehículo	subir, entrar em veículo	get on a vehicle	Basic actions and technology	VISUAL			Landin2005
822	Karitiana	None	kywy	kywy	k ɨ w ɨ		kari1312	15			frotar/fregar	esfregar	scrub	Basic actions and technology	VISUAL, AUDITORY			Landin2005
823	Karitiana	None	kyyn	kyyn	k ɨː n		kari1312	15			romper maleza/arbustos	quebrar mato	break through the bushes	Agriculture and vegetation	AUDITORY, VISUAL			Landin2005
824	Karitiana	None	mã	mã	m ã	Como pronombre, significa a você (a ti), ¿relación con el sentido ¡psst!?	kari1312	15			sonido de tejer cesta, ¡psst!	som de tecer cesta, psiu	weaving basket	Basic actions and technology	VISUAL, AUDITORY			Landin2005
825	Karitiana	None	marara	marara	m a ɾ a ɾ a		kari1312	16			sonido de inambú (especie de ave)	som de inambu	bird species	Animals	AUDITORY			Landin2005
826	Karitiana	None	mõg	mõg	m õ ŋ		kari1312	16			entrar en los matorrales/arbustos	entrar no mato	enter into the bushes	Agriculture and vegetation, Motion	AUDITORY			Landin2005
827	Karitiana	None	mõja	mõja	m õ j a		kari1312	16			demorar	demorar	take a long time	OTHER	?			Landin2005
828	Karitiana	None	myg	myg	m ɨ ŋ	Como adverbio, significa já (ya).	kari1312	17			¿terminar?	aprontar	finish	Time	?			Landin2005
829	Karitiana	None	mỹg	mỹg	m ɨ̃ ŋ		kari1312	17			sonido de fuego prendiéndose en el cuerpo	som de fogo pegando no corpo	catching fire	Basic actions and technology	AUDITORY, VISUAL			Landin2005
830	Karitiana	None	myj	myj	m ɨ j		kari1312	17			lanzar	jogar	throw	Motion	VISUAL			Landin2005
831	Karitiana	None	nahokỹn	nahokỹn	n a h o k ɨ̃ n		kari1312	18			abrir caña (sacar tiras de caña para tejer)	abrir palha	split into strips	Agriculture and vegetation	VISUAL, AUDITORY			Landin2005
832	Karitiana	None	nak	nak	n a k		kari1312	18			dar a todos	dar para todos	give to everyone	Basic actions and technology	VISUAL			Landin2005
833	Karitiana	None	nerek	nerek	n e ɾ e k		kari1312	18			caminar	andando	walk	Motion	VISUAL, AUDITORY			Landin2005
