ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	GLOTTOCODE	PAGE	REDUPLICATION	REDUPLICATIONNOTES	SPANISH	PORTUGUESE	SIMPLIFIED	SEMANTICFIELD	SENSORYCATEGORY	CONCEPTICON_GLOSS	CONCEPTICON_ID	SOURCE
648	Hixkaryana	(palm tree) falling to ground, pushing and picking it up, then throwing it	txhea fom krow	txhea fom krow	tʃ h e æ + ɸ ɔ m + k ɾ ɔ w	Secuencia de ideófonos	hixk1239	191			(palmera) cayendo al piso, empujándola y levantándola, y luego lanzándola		tree falling and being carried away	Motion	VISUAL, AUDITORY			Derbyshire1979
225	AsheninkaPerene	(vaginal) bleeding	mari	mari	m a ɾ i	Human body functions and human activities	ashe1272	666	y		sangrado (vaginal)		menstruate	The body	VISUAL			Mihas2015
2290	PastazaQuechua	1.Depicts the way something rises from under water and is suddenly evident as it breaks through to the water's surface. It may focus on the duration of the upward thrusting movement, or its momentary, punctual occurrence. May also depict the rising up of a baby inside a watery womb during labor. 2.Depicts the way something floats and moves across the surface of water, either by gliding along smoothly, or by intermittently bobbing.	polan	polan	p o ɫ a n		nort2973	LINK					rise from under water, move across the surface of water	Motion	VISUAL			Nuckolls2025
2291	PastazaQuechua	1.Depicts the way something rises from under water and is suddenly evident as it breaks through to the water's surface. It may focus on the duration of the upward thrusting movement, or its momentary, punctual occurrence. May also depict the rising up of a baby inside a watery womb during labor. 2.Depicts the way something floats and moves across the surface of water, either by gliding along smoothly, or by intermittently bobbing.	pulan	pulan	p u ɫ a n		nort2973	LINK					rise from under water, move across the surface of water	Motion	VISUAL			Nuckolls2025
2408	PastazaQuechua	A blackness that stands out from its surroundings	yanan	yanan	j a n a n		nort2973	LINK					black	Sense perception	VISUAL			Nuckolls2025
2246	PastazaQuechua	A bodily feeling of extreme weakness that is often accompanied by a noticeable drooping posture	iyu	iyu	i j u		nort2973	LINK					feeling weak	The body	INTERNAL STATE			Nuckolls2025
2296	PastazaQuechua	A bright redness, including colors ranging from red, pink, orange,and earthy reddish brown	pukaxlla	pukaxlla	p u k a x ʎ a		nort2973	LINK					bright red	Sense perception	VISUAL			Nuckolls2025
2299	PastazaQuechua	A brightness, or a flash of light	pundzhan	pundzhan	p u n dʑ a n		nort2973	LINK					bright	Sense perception	VISUAL			Nuckolls2025
2391	PastazaQuechua	A calling sound, similar to a human call, but originating from a forest spirit attempting to steer dogs away from a jaguar	ũ	ũ	ũ	very nasal vowel sound made with a nearly closed mouth	nort2973	LINK					forest spirit	Religion and belief	AUDITORY			Nuckolls2025
2378	PastazaQuechua	A cataclysmic sound of the earth exploding during an earlier era, or the sound of anacondas fighting underwater	tun	tun	t̪ u n		nort2973	LINK					mythical explosion of the earth, anacondas fighting	Religion and belief, Animals	AUDITORY			Nuckolls2025
2201	PastazaQuechua	A clinking sound resulting from metal making contact with another hard surface such as stone.	chin	chin	tɕ i n		nort2973	LINK					clinking	Basic actions and technology	AUDITORY			Nuckolls2025
2396	PastazaQuechua	A cluster or bunch of fruit growing from a bush or tree	wangu	wangu	w a ŋ u		nort2973	LINK	y				bunch of fruit growing	Agriculture and vegetation	VISUAL			Nuckolls2025
2334	PastazaQuechua	A collapsing movement	talaw	talaw	t̪ a ɫ a w		nort2973	LINK					collapse	Motion	VISUAL			Nuckolls2025
2303	PastazaQuechua	A collapsing movement of a body	puskin	puskin	p u s k i n		nort2973	LINK					collapse	Motion	VISUAL			Nuckolls2025
2343	PastazaQuechua	A complete absence of motion, as if 'stuck still'.	tay	tay	t̪ a j		nort2973	LINK					to be still	Motion	VISUAL			Nuckolls2025
2385	PastazaQuechua	A complete turning, revolving, or rolling movement; also used to describe a 180 degree turn, as when a drinking bowl is turned upside down. Tyam is often part of aswa drinking instructions when a host will order a guest to drink tyam, which means the pot is emptied so it can be turned upside down.	tyam	tyam	tʲ a m		nort2973	LINK	y				turning	Motion	VISUAL			Nuckolls2025
2313	PastazaQuechua	A continuous movement and sound of water pouring; any unbroken sensation of movement, such as a sensation of heat or burning that flows through one's body	saw	saw	s a w		nort2973	LINK					water pouring	Motion	AUDITORY, VISUAL, INTERNAL STATE			Nuckolls2025
2252	PastazaQuechua	A distinctive yellow or golden color	killux	killux	k i ʎ u x		nort2973	LINK					yellow	Sense perception	VISUAL			Nuckolls2025
2212	PastazaQuechua	A downward movement that slides along a surface	diri	diri	d̪ i ɾ i	Segunda sílaba se repite: diriririririri	nort2973	LINK	y				sliding	Motion	VISUAL			Nuckolls2025
2309	PastazaQuechua	A feeling of fullness in the stomach when one has eaten as much as possible	saksak	saksak	s a k s a k		nort2973	LINK					full stomach	Food and drink, The body	INTERNAL STATE			Nuckolls2025
2261	PastazaQuechua	A folding or bending movement	lapu	lapu	ɫ a p u	Se puede repetir: lapu lapu lapu.	nort2973	LINK	y				folding	Spatial relations	VISUAL			Nuckolls2025
2213	PastazaQuechua	A frictional movement involving cutting or sawing	dzar	dzar	dz a ɾ		nort2973	LINK					sawing	Basic actions and technology	AUDITORY			Nuckolls2025
2220	PastazaQuechua	A frictional sliding movement	dzir	dzir	dz i ɾ	Se puede repetir: dzir dzir, dzir dzir dzir dzir dzir.	nort2973	LINK	y				sliding movement	Motion	VISUAL			Nuckolls2025
2373	PastazaQuechua	A kind of 'glug glug' sound of drinking	tuglu	tuglu	t̪ u g ɫ u		nort2973	LINK	y				drinking	Food and drink	AUDITORY			Nuckolls2025
2216	PastazaQuechua	A movement of a group of entities which is inwardly directed (centripetal), rather than outwardly spreading (centripetal). Often used to describe swarming of insects around a central focus.	dzaw	dzaw	dz a w	Se puede repetir: dzaw dzaw dzaw dzaw dzaw...	nort2973	LINK	y				multiple things moving towards a center	Motion	VISUAL			Nuckolls2025
2276	PastazaQuechua	A movement or pattern that swirls repetitively	muyu	muyu	m u j u	Se puede repetir: muyu muyu, muyu muyu muyu muyu.	nort2973	LINK	y				swirling pattern	Spatial relations	VISUAL			Nuckolls2025
