id	doculect	form	Reduplication	Reduplication_Notes	concept	significado_español	notas	fuente	página	
1	achu1248	púr			the sound of taking manioc out of the ground	sonido de sacar yuca de la tierra		Kohlberger2020	161	
2	achu1248	sɨr	y	total	smell of wet dog	olor de perro mojado		Kohlberger2020	161	
3	achu1248	pɨ́ɨr			moving around in circles or rotating	moverse en círculos o girar		Kohlberger2020	161	
4	achu1248	pák			the feeling of falling asleep	sensación de quedarse dormido		Kohlberger2020	161	
5	achu1248	ajá			nothing	nada		Kohlberger2020	162	
6	achu1248	kuruá	y	total	snore	roncar		Kohlberger2020	162	
7	achu1248	sákam			sudden noise	ruido repentino		Kohlberger2020	162	
8	achu1248	hurí	y	total	cannibal sounds	sonidos caníbales	sonido típico de los huríhuri, caníbales míticos	Kohlberger2020	162	
9	achu1248	kutʃát	y	total	something is pressed into a soft surface	algo se presiona contra una superficie suave		Kohlberger2020	163	
10	achu1248	há	y	total	bark	ladrar		Kohlberger2020	164	
11	achu1248	tak			to pierce the ground	perforar el suelo		Kohlberger2020	8	
12	achu1248	hujuí			mist	neblina		Kohlberger2020	41	
13	achu1248	ták			unable	incapaz		Kohlberger2020	148	
14	achu1248	pɨ́ɨ			fast	rápido		Kohlberger2020	235	
15	achu1248	kat	y	total	to eat food	comer comida		Kohlberger2020	272	
16	agua1253	tu	y	total	hitting a tree root as a signal	golpear la raíz de un árbol para enviar una señal		Overall2007	171	
17	agua1253	hau	y	total	jaguar's roar	rugido del jaguar		Overall2007	171	
18	agua1253	hawát			putting something over ones shoulder (bag etc) [sic]	ponerse algo sobre el hombro (bolsa, etc.)		Overall2007	172	
19	agua1253	ídaim			snake sticking out its tongue	sacar la lengua una serpiente		Overall2007	172	
20	agua1253	kakút			hitting, breaking apart	golpear, hacer pedazos		Overall2007	172	
21	agua1253	kutút			vomiting	vomitar		Overall2007	172	
22	agua1253	kuwɨŋkahá			unwrapping	desenvolver		Overall2007	172	
23	agua1253	pakɨ́t			solid hitting solid	objeto sólido golpeando a objeto sólido		Overall2007	172	
24	agua1253	panán			coming out (of a hole, doorway etc.) [sic]	salir (de un agujeto, de una puerta, etc.)		Overall2007	172	
25	agua1253	páuh			falling	caer		Overall2007	172	
26	agua1253	piípi			slapping with the hand	dar una palmada con la mano		Overall2007	172	
27	agua1253	pɨɨ́t			jumping	saltar		Overall2007	172	
28	agua1253	pɨpɨŋkasuã́			wrapping up	envolver		Overall2007	172	
29	agua1253	pisút			slashing	cortar dando un tajo		Overall2007	172	
30	agua1253	puhút			splash	plas (sonido de golpe en el agua)		Overall2007	172	
31	agua1253	pútit			taking small bites	dar bocados pequeños		Overall2007	172	
